,name,long_name,name_odessa,unit,domain,strategy,dimension,index
6,m_steam_primary_volume,steam mass,m_steam,[kg],primary_volume,primary_volume_ther,volume,
7,rho_liq_primary_volume,liquid density,rho_liq,[kg/m3],primary_volume,primary_volume_ther,volume,
8,m_liq_primary_volume,liquid mass,m_liq,[kg],primary_volume,primary_volume_ther,volume,
9,T_sat_primary_volume,saturation temperature,T_sat,[K],primary_volume,primary_volume_ther,volume,
10,x_steam_primary_volume,void fraction of steam water,x_steam,[],primary_volume,primary_volume_ther,volume,
11,T_liq_primary_volume,liquid temperature,T_liq,[K],primary_volume,primary_volume_ther,volume,
12,P_up_primary_volume,pressure above water level,P_UP,[Pa],primary_volume,primary_volume_ther,volume,
0,Fp_power_wall_primary,residual power generated by PFs on the wall,fp_power,[W],primary_wall,primary_wall,wall,
0,phi_wtol_wall_primary,heat flux exchanged from wall to liquid,phi_wtol,[W],primary_wall,primary_wall_ther,wall,
1,phi_wtog_wall_primary,heat flux exchanged from wall to gas,phi_wtog,[W],primary_wall,primary_wall_ther,wall,
2,Ts_wall_primary,wall surface temperature,Ts_wall,[K],primary_wall,primary_wall_ther,wall,
3,T_wall_primary,wall temperature versus time,T_wall,[K],primary_wall,primary_wall_ther,wall,
4,phi_wtoi_wall_primary,heat flux exchanged from wall to interface,phi_wtoi,[W],primary_wall,primary_wall_ther,wall,
5,Ts_wall_primary_2,wall surface temperature second side,Ts_wall,[K],primary_wall,primary_wall_ther_2,wall,
6,T_wall_primary_2,wall temperature versus time second side,T_wall,[K],primary_wall,primary_wall_ther_2,wall,
0,V_liq_secondar_junction_ther,liquid velocity at the junction,v_liq,[m/s],secondar_junction,secondar_junction_ther,junction,
1,V_gas_secondar_junction_ther,gas velocity at the junction,v_gas,[m/s],secondar_junction,secondar_junction_ther,junction,
2,Q_m_stea_secondar_junction_ther,gas mass flow rate at the junction,q_m_stea,[kg/s],secondar_junction,secondar_junction_ther,junction,
3,Q_m_liq_secondar_junction_ther,liquid mass flow rate at the junction,q_m_liq,[kg/s],secondar_junction,secondar_junction_ther,junction,
0,T_gas_secondar_volume,gas temperature,T_gas,[K],secondar_volume,secondar_volume_ther,volume,
1,x_alfa_secondar_volume,void fraction,x_alfa,[-],secondar_volume,secondar_volume_ther,volume,
2,P_steam_secondar_volume,steam partial pressure,P_steam,[Pa],secondar_volume,secondar_volume_ther,volume,
3,P_H2_secondar_volume,hydrogen partial pressure,P_h2,[Pa],secondar_volume,secondar_volume_ther,volume,
4,P_secondar_volume,total pressure,P,[Pa],secondar_volume,secondar_volume_ther,volume,
5,m_steam_secondar_volume,mass of steam,m_steam,[kg],secondar_volume,secondar_volume_ther,volume,
6,rho_gas_secondar_volume,density of gaseous mixture,rho_gas,[kg/m3],secondar_volume,secondar_volume_ther,volume,
7,m_liq_secondar_volume,mass of liquid,m_liq,[kg],secondar_volume,secondar_volume_ther,volume,
8,T_sat_secondar_volume,saturation temperature,T_sat,[K],secondar_volume,secondar_volume_ther,volume,
9,x_alfa1_secondar_volume,void fraction of the mixture in the swollen sub-volume of the volume,x_alfa1,[-],secondar_volume,secondar_volume_ther,volume,
10,rho_liq_secondar_volume,liquid density,rho_liq,[kg/m3],secondar_volume,secondar_volume_ther,volume,
11,T_liq_secondar_volume,liquid temperature,T_liq,[K],secondar_volume,secondar_volume_ther,volume,
0,Fp_power_secondar_wall,residual power generated by PFs on the wall,fp_power,[W],secondar_wall,secondar_wall,wall,
0,T_wall_secondar_wall,wall surface temperature,T_wall,[K],secondar_wall,secondar_wall_ther,wall,
1,Ts_wall_secondar_wall,wall surface temperature,Ts_wall,[K],secondar_wall,secondar_wall_ther,wall,
2,T_wall_secondar_wall_ther_2,wall surface temperature,T_wall,[K],secondar_wall,secondar_wall_ther_2,wall,
3,Ts_wall_secondar_wall_ther_2,wall surface temperature,Ts_wall,[K],secondar_wall,secondar_wall_ther_2,wall,
0,Q_steam_connecti,instantenous value of steam mass flow,Qsteam,[kg/s],connecti,connecti,connecti,
1,Q_H20_connecti,instantenous value of water flow,Qwater,[kg/s],connecti,connecti,connecti,
2,m_H20_connecti,cumulative total mass of water,Mwater,[kg],connecti,connecti,connecti,
3,T_connecti,temperature in connecti,T,[K],connecti,connecti,connecti,
4,P_connecti,total pressure representing the back pressure,P,[Pa],connecti,connecti,connecti,
5,Q_m_av_connecti_source,mean mass flowrate,QMAV,[kg/s],connecti,connecti_source,connecti,
6,H_0_connecti_source,cumulated enthalpy,FLOW,[J],connecti,connecti_source_index,connecti,0.0
7,H_1_connecti_source,cumulated enthalpy,FLOW,[J],connecti,connecti_source_index,connecti,1.0
8,flux_heat_connecti,table of heat source versus time,FLUX,[W],connecti,connecti_heat,connecti,
0,Q_fp_Ac,mean mass flowrate of Ac,4,[kg/s],connecti_fp,connecti_source_fp,none,
1,Q_fp_Ag,mean mass flowrate of Ag,5,[kg/s],connecti_fp,connecti_source_fp,none,
2,Q_fp_Am,mean mass flowrate of Am,6,[kg/s],connecti_fp,connecti_source_fp,none,
3,Q_fp_As,mean mass flowrate of As,7,[kg/s],connecti_fp,connecti_source_fp,none,
4,Q_fp_Ba,mean mass flowrate of Ba,8,[kg/s],connecti_fp,connecti_source_fp,none,
5,Q_fp_Br,mean mass flowrate of Br,9,[kg/s],connecti_fp,connecti_source_fp,none,
6,Q_fp_Cd,mean mass flowrate of Cd,10,[kg/s],connecti_fp,connecti_source_fp,none,
7,Q_fp_Ce,mean mass flowrate of Ce,11,[kg/s],connecti_fp,connecti_source_fp,none,
8,Q_fp_Cm,mean mass flowrate of Cm,12,[kg/s],connecti_fp,connecti_source_fp,none,
9,Q_fp_Cs,mean mass flowrate of Cs,13,[kg/s],connecti_fp,connecti_source_fp,none,
10,Q_fp_Cu,mean mass flowrate of Cu,14,[kg/s],connecti_fp,connecti_source_fp,none,
11,Q_fp_Dy,mean mass flowrate of Dy,15,[kg/s],connecti_fp,connecti_source_fp,none,
12,Q_fp_Er,mean mass flowrate of Er,16,[kg/s],connecti_fp,connecti_source_fp,none,
13,Q_fp_Eu,mean mass flowrate of Eu,17,[kg/s],connecti_fp,connecti_source_fp,none,
14,Q_fp_Ga,mean mass flowrate of Ga,18,[kg/s],connecti_fp,connecti_source_fp,none,
15,Q_fp_Gd,mean mass flowrate of Gd,19,[kg/s],connecti_fp,connecti_source_fp,none,
16,Q_fp_Ge,mean mass flowrate of Ge,20,[kg/s],connecti_fp,connecti_source_fp,none,
17,Q_fp_Ho,mean mass flowrate of Ho,21,[kg/s],connecti_fp,connecti_source_fp,none,
18,Q_fp_I,mean mass flowrate of I,22,[kg/s],connecti_fp,connecti_source_fp,none,
19,Q_fp_In,mean mass flowrate of In,23,[kg/s],connecti_fp,connecti_source_fp,none,
20,Q_fp_Kr,mean mass flowrate of Kr,24,[kg/s],connecti_fp,connecti_source_fp,none,
21,Q_fp_La,mean mass flowrate of La,25,[kg/s],connecti_fp,connecti_source_fp,none,
22,Q_fp_Mo,mean mass flowrate of Mo,26,[kg/s],connecti_fp,connecti_source_fp,none,
23,Q_fp_Nb,mean mass flowrate of Nb,27,[kg/s],connecti_fp,connecti_source_fp,none,
24,Q_fp_Nd,mean mass flowrate of Nd,28,[kg/s],connecti_fp,connecti_source_fp,none,
25,Q_fp_Np,mean mass flowrate of Np,29,[kg/s],connecti_fp,connecti_source_fp,none,
26,Q_fp_Pa,mean mass flowrate of Pa,30,[kg/s],connecti_fp,connecti_source_fp,none,
27,Q_fp_Pd,mean mass flowrate of Pd,31,[kg/s],connecti_fp,connecti_source_fp,none,
28,Q_fp_Pm,mean mass flowrate of Pm,32,[kg/s],connecti_fp,connecti_source_fp,none,
29,Q_fp_Pr,mean mass flowrate of Pr,33,[kg/s],connecti_fp,connecti_source_fp,none,
30,Q_fp_Pu,mean mass flowrate of Pu,34,[kg/s],connecti_fp,connecti_source_fp,none,
31,Q_fp_Ra,mean mass flowrate of Ra,35,[kg/s],connecti_fp,connecti_source_fp,none,
32,Q_fp_Rb,mean mass flowrate of Rb,36,[kg/s],connecti_fp,connecti_source_fp,none,
33,Q_fp_Re,mean mass flowrate of Re,37,[kg/s],connecti_fp,connecti_source_fp,none,
34,Q_fp_Rh,mean mass flowrate of Rh,38,[kg/s],connecti_fp,connecti_source_fp,none,
35,Q_fp_Ru,mean mass flowrate of Ru,39,[kg/s],connecti_fp,connecti_source_fp,none,
36,Q_fp_Sb,mean mass flowrate of Sb,40,[kg/s],connecti_fp,connecti_source_fp,none,
37,Q_fp_Se,mean mass flowrate of Se,41,[kg/s],connecti_fp,connecti_source_fp,none,
38,Q_fp_Sm,mean mass flowrate of Sm,42,[kg/s],connecti_fp,connecti_source_fp,none,
39,Q_fp_Sn,mean mass flowrate of Sn,43,[kg/s],connecti_fp,connecti_source_fp,none,
40,Q_fp_Sr,mean mass flowrate of Sr,44,[kg/s],connecti_fp,connecti_source_fp,none,
41,Q_fp_Tb,mean mass flowrate of Tb,45,[kg/s],connecti_fp,connecti_source_fp,none,
42,Q_fp_Tc,mean mass flowrate of Tc,46,[kg/s],connecti_fp,connecti_source_fp,none,
43,Q_fp_Te,mean mass flowrate of Te,47,[kg/s],connecti_fp,connecti_source_fp,none,
44,Q_fp_Th,mean mass flowrate of Th,48,[kg/s],connecti_fp,connecti_source_fp,none,
45,Q_fp_Tl,mean mass flowrate of Tl,49,[kg/s],connecti_fp,connecti_source_fp,none,
46,Q_fp_Tm,mean mass flowrate of Tm,50,[kg/s],connecti_fp,connecti_source_fp,none,
47,Q_fp_U,mean mass flowrate of U,51,[kg/s],connecti_fp,connecti_source_fp,none,
