project_dir,found,found_path,search_depth,copied_to_top
/mnt/ASSAS/upload_test/0ce820ee-5e3e-48a5-8040-3d41f68cd2e6,True,/mnt/ASSAS/upload_test/0ce820ee-5e3e-48a5-8040-3d41f68cd2e6/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0d34e31d-3976-4551-8702-ce0e4efbbe55,True,/mnt/ASSAS/upload_test/0d34e31d-3976-4551-8702-ce0e4efbbe55/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0d54f061-0b27-40a7-bfed-849e1edc971a,True,/mnt/ASSAS/upload_test/0d54f061-0b27-40a7-bfed-849e1edc971a/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0da17c3a-00f5-4992-93e5-46bfc644a6e8,True,/mnt/ASSAS/upload_test/0da17c3a-00f5-4992-93e5-46bfc644a6e8/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0da84037-2120-45d7-aa6b-75b8fab9fd60,True,/mnt/ASSAS/upload_test/0da84037-2120-45d7-aa6b-75b8fab9fd60/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0dce156b-e064-4ed3-a1fc-df2f35685ca9,True,/mnt/ASSAS/upload_test/0dce156b-e064-4ed3-a1fc-df2f35685ca9/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0ded48cf-4296-4c75-abeb-ca1ea6711bc5,True,/mnt/ASSAS/upload_test/0ded48cf-4296-4c75-abeb-ca1ea6711bc5/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e0365ac-5a17-45ee-b0b3-9e85280fe74b,True,/mnt/ASSAS/upload_test/0e0365ac-5a17-45ee-b0b3-9e85280fe74b/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e0d8642-6f46-4f7a-8925-4a55aa2649f1,True,/mnt/ASSAS/upload_test/0e0d8642-6f46-4f7a-8925-4a55aa2649f1/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e141d93-6dd7-41c5-92d1-04d480ab1550,True,/mnt/ASSAS/upload_test/0e141d93-6dd7-41c5-92d1-04d480ab1550/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e2b8bac-6eca-4f9c-b932-451bb46edca8,True,/mnt/ASSAS/upload_test/0e2b8bac-6eca-4f9c-b932-451bb46edca8/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e4cd92d-78ae-4bde-9638-778f0a99628c,True,/mnt/ASSAS/upload_test/0e4cd92d-78ae-4bde-9638-778f0a99628c/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e4db87f-67fc-4f7e-bd64-fb43a1e8a7ec,True,/mnt/ASSAS/upload_test/0e4db87f-67fc-4f7e-bd64-fb43a1e8a7ec/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0e907fcb-ae27-4cc4-b353-a69b5640a109,True,/mnt/ASSAS/upload_test/0e907fcb-ae27-4cc4-b353-a69b5640a109/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0ed89335-4771-41a2-8d57-b722af2e39bc,True,/mnt/ASSAS/upload_test/0ed89335-4771-41a2-8d57-b722af2e39bc/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0f32d043-b4e6-4804-8fb2-0c41b99bc0b8,True,/mnt/ASSAS/upload_test/0f32d043-b4e6-4804-8fb2-0c41b99bc0b8/upload_info.pickle,0,False
/mnt/ASSAS/upload_test/0f7615f5-fec7-4487-8910-6c34294142ae,True,/mnt/ASSAS/upload_test/0f7615f5-fec7-4487-8910-6c34294142ae/upload_info.pickle,0,False
