name,long_name,name_odessa,unit,domain,strategy,dimension,index
m_cum_fp_Gd_connecti_flow,cumulative total mass of Gd,SOURCE 19:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ge_connecti_flow,mean mass flowrate of Ge,SOURCE 20:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ge_connecti_flow,cumulative total mass of Ge,SOURCE 20:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Ho_connecti_flow,mean mass flowrate of Ho,SOURCE 21:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Ho_connecti_flow,cumulative total mass of Ho,SOURCE 21:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_I_connecti_flow,mean mass flowrate of I,SOURCE 22:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_I_connecti_flow,cumulative total mass of I,SOURCE 22:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_In_connecti_flow,mean mass flowrate of In,SOURCE 23:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_In_connecti_flow,cumulative total mass of In,SOURCE 23:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Kr_connecti_flow,mean mass flowrate of Kr,SOURCE 24:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Kr_connecti_flow,cumulative total mass of Kr,SOURCE 24:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_La_connecti_flow,mean mass flowrate of La,SOURCE 25:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_La_connecti_flow,cumulative total mass of La,SOURCE 25:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Mo_connecti_flow,mean mass flowrate of Mo,SOURCE 26:QMAV,[kg/s],connection_fp,connection_flow_fp,none
m_cum_fp_Mo_connecti_flow,cumulative total mass of Mo,SOURCE 26:FLOW:0,[kg],connection_fp,connection_flow_fp,none
Q_fp_Nb_connecti_flow,mean mass flowrate of Nb,SOURCE 27:QMAV,[kg/s],connection_fp,connection_flow_fp,none
